SoccerPlayer,SoccerPlayerLabel,Team,TeamLabel,TeamNumber,numMatches,numGoals,startTime,endTime
http://www.wikidata.org/entity/Q2094717,William Sunsing,http://www.wikidata.org/entity/Q2295404,Brujas F.C.,,47,8,2006-01-01T00:00:00Z,2007-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2094717,William Sunsing,http://www.wikidata.org/entity/Q290878,Municipal Pérez Zeledón,,21,9,2004-01-01T00:00:00Z,2005-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2094717,William Sunsing,http://www.wikidata.org/entity/Q2295404,Brujas F.C.,,11,1,2010-01-01T00:00:00Z,2010-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2094717,William Sunsing,http://www.wikidata.org/entity/Q309095,New England Revolution,,48,4,2000-01-01T00:00:00Z,2001-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2094717,William Sunsing,http://www.wikidata.org/entity/Q738886,FK Teplice,,8,0,2005-01-01T00:00:00Z,2005-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2094717,William Sunsing,http://www.wikidata.org/entity/Q520474,Orión F.C.,,4,0,2011-01-01T00:00:00Z,2011-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2094717,William Sunsing,http://www.wikidata.org/entity/Q194387,Costa Rica national football team,,35,4,2000-01-01T00:00:00Z,2009-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2094717,William Sunsing,http://www.wikidata.org/entity/Q420755,Akratitos F.C.,,9,0,2006-01-01T00:00:00Z,2006-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2094717,William Sunsing,http://www.wikidata.org/entity/Q3625215,Asociacion Deportiva Limonense,,14,6,2011-01-01T00:00:00Z,2011-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2094717,William Sunsing,http://www.wikidata.org/entity/Q1424158,Municipal Liberia,,78,17,2008-01-01T00:00:00Z,2010-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2208497,Celso Borges,http://www.wikidata.org/entity/Q3590655,Costa Rica Olympic football team,,4,2,2007-11-16T00:00:00Z,2007-12-06T00:00:00Z
http://www.wikidata.org/entity/Q2208497,Celso Borges,http://www.wikidata.org/entity/Q922309,Costa Rica national under-20 football team,,8,2,2006-08-11T00:00:00Z,2007-07-07T00:00:00Z
http://www.wikidata.org/entity/Q2208497,Celso Borges,http://www.wikidata.org/entity/Q3044773,Costa Rica national under-17 football team,,9,2,2005-04-12T00:00:00Z,2005-09-25T00:00:00Z
http://www.wikidata.org/entity/Q2208497,Celso Borges,http://www.wikidata.org/entity/Q8760,Deportivo de La Coruña,,111,15,2015-01-14T00:00:00Z,2018-08-15T00:00:00Z
http://www.wikidata.org/entity/Q2208497,Celso Borges,http://www.wikidata.org/entity/Q221602,AIK Fotboll,,97,23,2012-01-01T00:00:00Z,2015-01-13T00:00:00Z
http://www.wikidata.org/entity/Q2208497,Celso Borges,http://www.wikidata.org/entity/Q216131,Fredrikstad FK,,85,41,2009-04-06T00:00:00Z,2011-12-31T00:00:00Z
http://www.wikidata.org/entity/Q2208497,Celso Borges,http://www.wikidata.org/entity/Q868582,Deportivo Saprissa,,117,13,2006-01-15T00:00:00Z,2009-03-17T00:00:00Z
http://www.wikidata.org/entity/Q2235763,Alejandro Morera Soto,http://www.wikidata.org/entity/Q1322654,Liga Deportiva Alajuelense,,144,136,1928-01-01T00:00:00Z,1932-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2235763,Alejandro Morera Soto,http://www.wikidata.org/entity/Q194387,Costa Rica national football team,,7,6,1938-01-01T00:00:00Z,1943-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2235763,Alejandro Morera Soto,http://www.wikidata.org/entity/Q8780,RCD Espanyol de Barcelona,,3,3,1933-01-01T00:00:00Z,1933-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2235763,Alejandro Morera Soto,http://www.wikidata.org/entity/Q11963,Hércules CF,,18,9,1935-01-01T00:00:00Z,1936-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2235763,Alejandro Morera Soto,http://www.wikidata.org/entity/Q328658,Le Havre AC,,2,1,1936-01-01T00:00:00Z,1936-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2235763,Alejandro Morera Soto,http://www.wikidata.org/entity/Q7156,FC Barcelona,,76,63,1933-01-01T00:00:00Z,1935-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2235763,Alejandro Morera Soto,http://www.wikidata.org/entity/Q1322654,Liga Deportiva Alajuelense,,47,39,1925-01-01T00:00:00Z,1927-01-01T00:00:00Z
